feature,cb_pvc,cb_lfc,cb_shap,spearman,pearson,mi,trans_attn,trans_grad,rank_cb_pvc,rank_cb_lfc,rank_cb_shap,rank_spearman,rank_pearson,rank_mi,rank_trans_attn,rank_trans_grad,avg_rank,n_methods,group
motion_speed,17.95658871783199,1.5275614112302647,1.1784315053409522,0.50636248841296,0.5106510273786169,0.07992311695872067,0.011931771412491798,0.002009526826441288,1.0,1.0,1.0,2.0,1.0,16.0,33.0,9.0,8.0,8,visual_motion
pause_rate,5.789314541725991,0.3759433418310251,0.38515594788637647,0.5578947368421052,0.5032282733429373,0.1448581818937862,0.010629458352923393,0.0006230509025044739,3.0,6.0,6.0,1.0,2.0,3.0,41.0,34.0,12.0,8,audio_speech
speech_rate_cv,4.8231172737877275,0.3211082110365391,0.33531800187834543,0.4736842105263158,0.2860234833279654,0.12559752339164132,0.011690896935760975,0.0006245602271519601,4.0,9.0,8.0,4.0,13.0,9.0,35.0,33.0,14.375,8,audio_speech
rolloff,1.7459374426743126,0.32723611710863537,0.3499153729270241,0.443859649122807,0.50105972421087,0.014167454492532539,0.015577103942632675,0.0005908552557229996,20.0,8.0,7.0,6.0,3.0,26.0,20.0,36.0,15.75,8,audio_basic
viewer_address,4.0085515607546,0.8207357915836822,0.619384465299094,0.14385964912280702,0.186921977117923,0.0715133980226863,0.014860400930047035,0.0009048720239661634,5.0,2.0,2.0,51.0,28.0,18.0,22.0,23.0,18.875,8,text_content
centroid,3.0324461283248136,0.5196392886446137,0.5260838456067326,0.5017543859649122,0.4954337640577377,0.0,0.009261027909815311,0.0007679839618504047,8.0,3.0,3.0,3.0,4.0,52.0,66.0,30.0,21.125,8,audio_basic
sentiment_intensity,2.256943130985824,0.31056006069123115,0.3006487707862255,0.18070175438596495,0.20932531881706373,0.013409492124662803,0.014760630205273628,0.0007959784707054496,11.0,10.0,10.0,46.0,23.0,27.0,24.0,29.0,22.5,8,unknown
radial_ratio,6.028780633379265,0.49179936769024163,0.4314417267376456,0.1842105263157895,0.08339931487263677,0.0,0.016005031764507294,0.0031666592694818974,2.0,4.0,4.0,44.0,51.0,52.0,17.0,6.0,22.5,8,visual_motion
text_prob,2.0846308039968773,0.22825850567238715,0.13792192762277058,0.007017543859649123,0.24189231570328118,0.12735017820157224,0.01135795097798109,0.0015044978354126215,13.0,14.0,19.0,65.0,18.0,7.0,37.0,11.0,23.0,8,visual_content
hook_score,2.654210538928717,0.40698479757054457,0.4306313678407617,0.3871818875906434,0.17650183377366033,0.0,0.009639618918299675,0.00095727713778615,9.0,5.0,5.0,8.0,29.0,52.0,56.0,21.0,23.125,8,hook
